tier,suite_cohort,ranking_type,rank,renderer_id,renderer,fps,frame_time_ms,psnr_db,ssim,lpips,peak_vram_mb,fps_ci95_low,fps_ci95_high,startup_time_ms,renderer_init_time_ms,scene_load_time_ms,renderer_prepare_time_ms,time_to_first_frame_ms,p95_frame_time_ms,p99_frame_time_ms,efficiency_score,case_count
measured,1,overall,1,gsplat,gsplat packed/dense (gsplat),240.27374369890234,4.161919586407842,25.834141521294075,0.8372486435174942,0.2653049125671387,4206.0,238.2837133769624,242.28198305624062,1829.88,0.01,3385.36,51.9,89.45,7.14,7.46,0.015413812387309484,5
measured,1,overall,2,gsplat,gsplat packed/dense (gsplat_dense),262.2434637149646,3.8132504270417638,25.834141521294075,0.8372486435174942,0.2653049125671387,3818.0,259.85480683229605,264.6567659925816,1621.59,0.01,2960.39,54.22,56.23,6.5,6.94,0.01853283119966156,5
measured,1,overall,3,gsplat_higs,gsplat HiGS variants (gsplat_higs),698.1891766389574,1.4322765712495609,25.834472800603525,0.8372220859527588,0.2649093929827213,6616.0,662.6406005564367,735.9400688061625,1390.55,0.02,3431.38,418.85,2.79,2.4,2.55,0.028495748651316825,5
measured,1,overall,4,gsplat_higs,gsplat HiGS variants (gsplat_higs_auto),699.500904977556,1.42959071658683,25.82814491017051,0.8370123956203461,0.26533444693684577,8728.0,675.007879845056,725.1278512666281,1590.63,0.02,5594.73,479.59,2.74,2.22,2.34,0.021569737387849997,5
measured,1,overall,5,gsplat_higs,gsplat HiGS variants (gsplat_higs_sh16),709.0948687466149,1.4102485352454792,25.455139365192956,0.8345210329294205,0.2780141417980194,8728.0,676.6052659329582,743.3579324826478,1681.56,0.02,2844.09,479.31,2.92,2.37,2.5,0.02022006777357643,5
measured,1,overall,6,gsplat_higs,gsplat HiGS variants (gsplat_higs_sh32),696.4399702416448,1.4358739341928177,25.828144927758895,0.8370123959779739,0.26533444634079933,8728.0,670.1090687176435,724.1276186367387,1480.3,0.02,3135.74,489.68,2.72,2.22,2.54,0.021475350844118852,5
measured,1,overall,7,gsplat_higs,gsplat HiGS variants (gsplat_higs_tile16),633.1302002427783,1.579453956889978,25.834227622204658,0.8371998801231384,0.26474440160393714,6614.0,594.0842266778344,675.1588532699939,1723.84,0.02,2894.71,424.44,3.07,2.53,2.86,0.025853272365690287,5
measured,1,overall,8,gsplat_higs,gsplat HiGS variants (gsplat_higs_tile16_sh16),643.9650479688679,1.552879311003141,25.454703491835414,0.834499964594841,0.27782804223895075,8726.0,613.1267716204778,676.6532260438983,1635.45,0.02,2882.42,476.17,3.01,2.45,2.77,0.01837218571434797,5
measured,1,overall,9,gsplat_higs,gsplat HiGS variants (gsplat_higs_tile16_sh32),636.9512830963868,1.5699787825824567,25.827870840540378,0.8369902557134629,0.2651698997616768,8726.0,610.7160867780005,664.6327873081927,1788.26,0.02,3063.73,526.35,2.97,2.49,2.58,0.019649236217527392,5
measured,1,overall,10,original_3dgs,Original 3DGS rasterizer (original_3dgs),122.21754426162049,8.182131346538824,26.119819261777693,0.8403464143276215,0.26373823046684264,8234.0,118.82302988324588,125.77945573037077,2175.83,0.01,4249.01,52.19,15.05,15.41,15.96,0.004195224192735592,5
