segment_size,scene,mean_len,p50_len,p90_len,p95_len,p99_len,max_len,mean_seg_per_ap,p90_seg_per_ap,p95_seg_per_ap,p99_seg_per_ap,red_mean,red_p50,red_p90,red_p95,red_p99,red_max,red_fwdT_mean,red_fwdT_p50,red_fwdT_p90,red_fwdT_p95,red_fwdT_p99,red_fwdT_max
32,garden,5.482975615237667,2.0,16.0,19.0,32.0,40.0,1.008877401955276,1.0,1.0,1.0,0.1607470399479416,0.058823529411764705,0.47058823529411764,0.5588235294117647,0.9166666666666666,1.1111111111111112,0.16586880418176728,0.06060606060606061,0.48484848484848486,0.5757575757575758,0.9696969696969697,1.1764705882352942
64,garden,5.482975615237667,2.0,16.0,19.0,32.0,40.0,1.0,1.0,1.0,1.0,0.0830753881096616,0.030303030303030304,0.24242424242424243,0.2878787878787879,0.48484848484848486,0.6060606060606061,0.08435347100365644,0.03076923076923077,0.24615384615384617,0.2923076923076923,0.49230769230769234,0.6153846153846154
128,garden,5.482975615237667,2.0,16.0,19.0,32.0,40.0,1.0,1.0,1.0,1.0,0.04217673550182822,0.015384615384615385,0.12307692307692308,0.14615384615384616,0.24615384615384617,0.3076923076923077,0.04250368693982688,0.015503875968992248,0.12403100775193798,0.14728682170542637,0.24806201550387597,0.31007751937984496
256,garden,5.482975615237667,2.0,16.0,19.0,32.0,40.0,1.0,1.0,1.0,1.0,0.02125184346991344,0.007751937984496124,0.06201550387596899,0.07364341085271318,0.12403100775193798,0.15503875968992248,0.021334535467850843,0.007782101167315175,0.0622568093385214,0.07392996108949416,0.1245136186770428,0.1556420233463035
512,garden,5.482975615237667,2.0,16.0,19.0,32.0,40.0,1.0,1.0,1.0,1.0,0.010667267733925422,0.0038910505836575876,0.0311284046692607,0.03696498054474708,0.0622568093385214,0.07782101167315175,0.010688061628143598,0.003898635477582846,0.031189083820662766,0.037037037037037035,0.06237816764132553,0.07797270955165692
1024,garden,5.482975615237667,2.0,16.0,19.0,32.0,40.0,1.0,1.0,1.0,1.0,0.005344030814071799,0.001949317738791423,0.015594541910331383,0.018518518518518517,0.031189083820662766,0.03898635477582846,0.005349244502670896,0.001951219512195122,0.015609756097560976,0.018536585365853658,0.03121951219512195,0.03902439024390244
