scene,count_ms,forward_ms,count_share,n_visible,n_isects,mismatches
room,0.02969600073993206,14.779935672879219,0.002009210418582769,16076,25475247,0
bicycle,0.026623999699950218,10.879967629909515,0.002447066076443064,13654,18550853,0
garden,0.02252800017595291,5.220159970223904,0.004315576592375317,100582,11257252,0
