scene,visible,isects,isects_per_visible,serial_ms,warp128_ms,warp256_ms,best,best_speedup,id_mismatches,flat_mismatches
room,16076,25475247,1584.6757277929833,10.638336181640625,0.34508800506591797,0.3665919899940491,warp_128,30.82789324887868,0,0
bicycle,13654,18550853,1358.6387139299839,6.916096210479736,0.31539198756217957,0.32972800731658936,warp_128,21.928572960707275,0,0
garden,100582,11257252,111.92113897118769,2.9767680168151855,0.24985599517822266,0.2519040107727051,warp_128,11.91393472344681,0,0
