scene,visible,isects,projection,no_sort,sort,offset,raster,forward
room,16076,25475247,0.23350399732589722,0.48844799399375916,3.3515519201755524,0.22118400037288666,0.41574400663375854,4.8640319257974625
bicycle,13654,18550853,0.3269760012626648,0.37376001477241516,2.6675200164318085,0.1525759994983673,0.9082880020141602,4.580672040581703
garden,100582,11257252,0.18595199286937714,0.3092480003833771,1.6609279811382294,0.10751999914646149,1.1048959493637085,3.522143930196762
