job_id,method,scene,seed,iteration,wall_time_seconds,psnr_db,ssim,lpips,num_GS
cross_hardware_generalization--gsplat--tanks_and_temples-train--a100--s0,gsplat,tanks_and_temples/train,0,30000,452.6991129259113,22.823410034179688,0.8812609314918518,0.055118680000305176,482019
cross_hardware_generalization--gsplat--tanks_and_temples-train--a100--s1,gsplat,tanks_and_temples/train,1,7000,86.16072869300842,20.388620376586914,0.8087041974067688,0.11672677844762802,416411
cross_hardware_generalization--gsplat--tanks_and_temples-train--a100--s1,gsplat,tanks_and_temples/train,1,15000,207.4266378879547,21.710205078125,0.8569847941398621,0.07672100514173508,510963
cross_hardware_generalization--gsplat--tanks_and_temples-train--a100--s1,gsplat,tanks_and_temples/train,1,30000,433.5147676060442,23.031749725341797,0.8827583193778992,0.05566367879509926,510963
cross_hardware_generalization--gsplat--tanks_and_temples-train--a100--s2,gsplat,tanks_and_temples/train,2,7000,85.95408654212952,20.620071411132812,0.8174008727073669,0.11437394469976425,429454
cross_hardware_generalization--gsplat--tanks_and_temples-train--a100--s2,gsplat,tanks_and_temples/train,2,15000,209.6483016014099,21.580341339111328,0.8599388599395752,0.07425224035978317,507377
cross_hardware_generalization--gsplat--tanks_and_temples-train--a100--s2,gsplat,tanks_and_temples/train,2,30000,440.0920332001988,22.56437110900879,0.8813298940658569,0.055968962609767914,507377
cross_hardware_generalization--gsplat--tanks_and_temples-truck--a100--s0,gsplat,tanks_and_temples/truck,0,7000,71.86307263374329,25.800710678100586,0.9225072860717773,0.03530416265130043,701839
cross_hardware_generalization--gsplat--tanks_and_temples-truck--a100--s0,gsplat,tanks_and_temples/truck,0,15000,175.55565524101257,26.712078094482422,0.9344284534454346,0.02846921980381012,840878
cross_hardware_generalization--gsplat--tanks_and_temples-truck--a100--s0,gsplat,tanks_and_temples/truck,0,30000,364.6484722979367,27.575847625732422,0.9408871531486511,0.023598119616508484,840878
cross_hardware_generalization--gsplat--tanks_and_temples-truck--a100--s1,gsplat,tanks_and_temples/truck,1,7000,72.38109588623047,25.668216705322266,0.9201762676239014,0.03721923753619194,683203
cross_hardware_generalization--gsplat--tanks_and_temples-truck--a100--s1,gsplat,tanks_and_temples/truck,1,15000,178.36046433448792,26.637149810791016,0.9336002469062805,0.028941020369529724,849907
cross_hardware_generalization--gsplat--tanks_and_temples-truck--a100--s1,gsplat,tanks_and_temples/truck,1,30000,370.51741694193333,27.417394638061523,0.9400614500045776,0.023969480767846107,849907
cross_hardware_generalization--gsplat--tanks_and_temples-truck--a100--s2,gsplat,tanks_and_temples/truck,2,7000,71.16994333267212,25.782148361206055,0.9214355945587158,0.03590794652700424,683237
cross_hardware_generalization--gsplat--tanks_and_temples-truck--a100--s2,gsplat,tanks_and_temples/truck,2,15000,174.2689459323883,26.686412811279297,0.9330486059188843,0.029000546783208847,830366
cross_hardware_generalization--gsplat--tanks_and_temples-truck--a100--s2,gsplat,tanks_and_temples/truck,2,30000,361.0323535259813,27.521852493286133,0.9401290416717529,0.024235762655735016,830366
cross_hardware_generalization--higs_full--mipnerf360-bicycle--a100--s0,higs_full,mipnerf360/bicycle,0,7000,127.95031380653381,24.059066772460938,0.6806349158287048,0.30257633328437805,3602315
cross_hardware_generalization--higs_full--mipnerf360-bicycle--a100--s0,higs_full,mipnerf360/bicycle,0,15000,395.4508605003357,25.21229362487793,0.7608831524848938,0.19009460508823395,5894278
cross_hardware_generalization--higs_full--mipnerf360-bicycle--a100--s0,higs_full,mipnerf360/bicycle,0,30000,926.6533873821609,25.628671646118164,0.7745299935340881,0.15801668167114258,5894278
cross_hardware_generalization--higs_full--mipnerf360-bicycle--a100--s1,higs_full,mipnerf360/bicycle,1,7000,124.32299947738647,24.032222747802734,0.683652937412262,0.29987436532974243,3575513
cross_hardware_generalization--higs_full--mipnerf360-bicycle--a100--s1,higs_full,mipnerf360/bicycle,1,15000,390.2388994693756,25.362586975097656,0.7622381448745728,0.18891596794128418,5828721
cross_hardware_generalization--higs_full--mipnerf360-bicycle--a100--s1,higs_full,mipnerf360/bicycle,1,30000,914.3010605741292,25.53370475769043,0.7734560966491699,0.1601368486881256,5828721
cross_hardware_generalization--higs_full--mipnerf360-bicycle--a100--s2,higs_full,mipnerf360/bicycle,2,7000,127.22243165969849,24.019393920898438,0.6779325604438782,0.3035198748111725,3589905
cross_hardware_generalization--higs_full--mipnerf360-bicycle--a100--s2,higs_full,mipnerf360/bicycle,2,15000,395.26628136634827,25.25691795349121,0.7596084475517273,0.19116055965423584,5837875
cross_hardware_generalization--higs_full--mipnerf360-bicycle--a100--s2,higs_full,mipnerf360/bicycle,2,30000,921.0295934728347,25.53335189819336,0.7731623649597168,0.1604011505842209,5837875
cross_hardware_generalization--higs_full--mipnerf360-bonsai--a100--s0,higs_full,mipnerf360/bonsai,0,7000,82.90636682510376,30.277307510375977,0.9416666030883789,0.0719442144036293,1178186
cross_hardware_generalization--higs_full--mipnerf360-bonsai--a100--s0,higs_full,mipnerf360/bonsai,0,15000,193.96793913841248,31.70046615600586,0.9537919759750366,0.05582345649600029,1255474
cross_hardware_generalization--higs_full--mipnerf360-bonsai--a100--s0,higs_full,mipnerf360/bonsai,0,30000,396.3561723099556,32.74994659423828,0.9601671695709229,0.04785327613353729,1255474
cross_hardware_generalization--higs_full--mipnerf360-bonsai--a100--s1,higs_full,mipnerf360/bonsai,1,7000,80.1771912574768,30.103708267211914,0.93936687707901,0.0732320100069046,1115958
cross_hardware_generalization--higs_full--mipnerf360-bonsai--a100--s1,higs_full,mipnerf360/bonsai,1,15000,189.7517580986023,31.619550704956055,0.953960657119751,0.05671493709087372,1231076
cross_hardware_generalization--higs_full--mipnerf360-bonsai--a100--s1,higs_full,mipnerf360/bonsai,1,30000,386.9962146920152,32.66889953613281,0.9594084620475769,0.048215482383966446,1231076
cross_hardware_generalization--higs_full--mipnerf360-bonsai--a100--s2,higs_full,mipnerf360/bonsai,2,7000,81.37804937362671,30.228464126586914,0.9412140846252441,0.07193394750356674,1135358
cross_hardware_generalization--higs_full--mipnerf360-bonsai--a100--s2,higs_full,mipnerf360/bonsai,2,15000,192.26064586639404,31.618619918823242,0.9530550241470337,0.056359075009822845,1238405
cross_hardware_generalization--higs_full--mipnerf360-bonsai--a100--s2,higs_full,mipnerf360/bonsai,2,30000,393.7194863019977,32.85527038574219,0.9590694308280945,0.04720998555421829,1238405
cross_hardware_generalization--higs_full--mipnerf360-garden--a100--s0,higs_full,mipnerf360/garden,0,7000,144.96319699287415,26.551626205444336,0.8352123498916626,0.1184464693069458,3982610
cross_hardware_generalization--higs_full--mipnerf360-garden--a100--s0,higs_full,mipnerf360/garden,0,15000,409.5900630950928,27.44537925720215,0.8647788763046265,0.08170264214277267,5050825
cross_hardware_generalization--higs_full--mipnerf360-garden--a100--s0,higs_full,mipnerf360/garden,0,30000,903.9784631070215,27.805095672607422,0.8730775713920593,0.07058746367692947,5050825
cross_hardware_generalization--higs_full--mipnerf360-garden--a100--s1,higs_full,mipnerf360/garden,1,7000,145.3653814792633,26.42371368408203,0.8331899642944336,0.1207369714975357,3909329
cross_hardware_generalization--higs_full--mipnerf360-garden--a100--s1,higs_full,mipnerf360/garden,1,15000,407.43028354644775,27.213520050048828,0.8612076044082642,0.08351697027683258,4986522
cross_hardware_generalization--higs_full--mipnerf360-garden--a100--s1,higs_full,mipnerf360/garden,1,30000,901.0843988258857,27.626121520996094,0.870664119720459,0.07310079038143158,4986522
cross_hardware_generalization--higs_full--mipnerf360-garden--a100--s2,higs_full,mipnerf360/garden,2,7000,145.3637409210205,26.296955108642578,0.82867431640625,0.11975213140249252,3940001
cross_hardware_generalization--higs_full--mipnerf360-garden--a100--s2,higs_full,mipnerf360/garden,2,15000,412.4250099658966,27.386524200439453,0.8639501333236694,0.08192474395036697,5008543
cross_hardware_generalization--higs_full--mipnerf360-garden--a100--s2,higs_full,mipnerf360/garden,2,30000,906.2235339039471,27.691360473632812,0.8702707290649414,0.07221496105194092,5008543
cross_hardware_generalization--higs_full--tanks_and_temples-train--a100--s0,higs_full,tanks_and_temples/train,0,7000,104.93372941017151,20.546871185302734,0.8146482110023499,0.11393633484840393,437519
cross_hardware_generalization--higs_full--tanks_and_temples-train--a100--s0,higs_full,tanks_and_temples/train,0,15000,249.11187553405762,21.636491775512695,0.8573313355445862,0.07460926473140717,483953
cross_hardware_generalization--higs_full--tanks_and_temples-train--a100--s0,higs_full,tanks_and_temples/train,0,30000,513.4484394800384,22.546098709106445,0.8786145448684692,0.05766377970576286,483953
cross_hardware_generalization--higs_full--tanks_and_temples-train--a100--s1,higs_full,tanks_and_temples/train,1,7000,103.64448976516724,20.522939682006836,0.811920702457428,0.11693253368139267,420079
cross_hardware_generalization--higs_full--tanks_and_temples-train--a100--s1,higs_full,tanks_and_temples/train,1,15000,250.7736577987671,21.655170440673828,0.8585753440856934,0.07576519250869751,510528
cross_hardware_generalization--higs_full--tanks_and_temples-train--a100--s1,higs_full,tanks_and_temples/train,1,30000,525.8896082758438,22.748023986816406,0.8821959495544434,0.05619049072265625,510528
cross_hardware_generalization--higs_full--tanks_and_temples-train--a100--s2,higs_full,tanks_and_temples/train,2,7000,102.49416947364807,20.540197372436523,0.8167861700057983,0.11533531546592712,432711
cross_hardware_generalization--higs_full--tanks_and_temples-train--a100--s2,higs_full,tanks_and_temples/train,2,15000,250.49092721939087,21.81842803955078,0.8617788553237915,0.07308637350797653,509505
cross_hardware_generalization--higs_full--tanks_and_temples-train--a100--s2,higs_full,tanks_and_temples/train,2,30000,528.1676901469473,22.755891799926758,0.8820200562477112,0.055270835757255554,509505
cross_hardware_generalization--higs_full--tanks_and_temples-truck--a100--s0,higs_full,tanks_and_temples/truck,0,7000,85.88110041618347,25.79241943359375,0.9221692085266113,0.03570970147848129,696555
cross_hardware_generalization--higs_full--tanks_and_temples-truck--a100--s0,higs_full,tanks_and_temples/truck,0,15000,207.17709231376648,26.745370864868164,0.9342488646507263,0.028298871591687202,837130
cross_hardware_generalization--higs_full--tanks_and_temples-truck--a100--s0,higs_full,tanks_and_temples/truck,0,30000,426.55489256512374,27.62004852294922,0.940485954284668,0.023939456790685654,837130
cross_hardware_generalization--higs_full--tanks_and_temples-truck--a100--s1,higs_full,tanks_and_temples/truck,1,7000,84.46373414993286,25.621902465820312,0.9202885031700134,0.03759658336639404,677084
cross_hardware_generalization--higs_full--tanks_and_temples-truck--a100--s1,higs_full,tanks_and_temples/truck,1,15000,204.8153383731842,26.687820434570312,0.934006929397583,0.02873346395790577,834157
cross_hardware_generalization--higs_full--tanks_and_temples-truck--a100--s1,higs_full,tanks_and_temples/truck,1,30000,425.16754596307874,27.506013870239258,0.9402279853820801,0.02425493486225605,834157
cross_hardware_generalization--higs_full--tanks_and_temples-truck--a100--s2,higs_full,tanks_and_temples/truck,2,7000,84.42930221557617,25.81320571899414,0.9215449094772339,0.03600670024752617,681435
cross_hardware_generalization--higs_full--tanks_and_temples-truck--a100--s2,higs_full,tanks_and_temples/truck,2,15000,203.49936246871948,26.63381004333496,0.9328815937042236,0.028959985822439194,825352
cross_hardware_generalization--higs_full--tanks_and_temples-truck--a100--s2,higs_full,tanks_and_temples/truck,2,30000,419.5028060199693,27.526405334472656,0.9398690462112427,0.02479649893939495,825352
cross_hardware_generalization--higs_proposed--mipnerf360-bicycle--a100--s0,higs_proposed,mipnerf360/bicycle,0,7000,101.11023950576782,22.527978897094727,0.6337697505950928,0.3097330331802368,2973657
cross_hardware_generalization--higs_proposed--mipnerf360-bicycle--a100--s0,higs_proposed,mipnerf360/bicycle,0,15000,294.8482699394226,22.165170669555664,0.661393404006958,0.23523303866386414,4244394
cross_hardware_generalization--higs_proposed--mipnerf360-bicycle--a100--s0,higs_proposed,mipnerf360/bicycle,0,30000,671.4114320939407,25.52379035949707,0.7627384662628174,0.17655451595783234,4244394
cross_hardware_generalization--higs_proposed--mipnerf360-bicycle--a100--s1,higs_proposed,mipnerf360/bicycle,1,7000,98.87996053695679,22.551198959350586,0.6340317726135254,0.30880382657051086,2982794
cross_hardware_generalization--higs_proposed--mipnerf360-bicycle--a100--s1,higs_proposed,mipnerf360/bicycle,1,15000,290.5195298194885,22.07823371887207,0.6602128744125366,0.23536929488182068,4265674
cross_hardware_generalization--higs_proposed--mipnerf360-bicycle--a100--s1,higs_proposed,mipnerf360/bicycle,1,30000,666.173452151008,25.49285125732422,0.7616717219352722,0.17758843302726746,4265674
