segment_size,scene,mean_len,p50_len,p90_len,p95_len,p99_len,max_len,mean_seg_per_ap,p90_seg_per_ap,p95_seg_per_ap,p99_seg_per_ap,red_mean,red_p50,red_p90,red_p95,red_p99,red_max,red_fwdT_mean,red_fwdT_p50,red_fwdT_p90,red_fwdT_p95,red_fwdT_p99,red_fwdT_max
32,bicycle,2.090695194841144,1.0,5.0,8.0,15.0,46.0,1.0014711762233317,1.0,1.0,1.0,0.06140124970407945,0.029411764705882353,0.14705882352941177,0.23529411764705882,0.4411764705882353,1.2777777777777777,0.0633054259682308,0.030303030303030304,0.15151515151515152,0.24242424242424243,0.45454545454545453,1.3529411764705883
64,bicycle,2.090695194841144,1.0,5.0,8.0,15.0,46.0,1.0,1.0,1.0,1.0,0.03167719992183551,0.015151515151515152,0.07575757575757576,0.12121212121212122,0.22727272727272727,0.696969696969697,0.03216454145909449,0.015384615384615385,0.07692307692307693,0.12307692307692308,0.23076923076923078,0.7076923076923077
128,bicycle,2.090695194841144,1.0,5.0,8.0,15.0,46.0,1.0,1.0,1.0,1.0,0.016082270729547245,0.007692307692307693,0.038461538461538464,0.06153846153846154,0.11538461538461539,0.35384615384615387,0.0162069394948926,0.007751937984496124,0.03875968992248062,0.06201550387596899,0.11627906976744186,0.35658914728682173
256,bicycle,2.090695194841144,1.0,5.0,8.0,15.0,46.0,1.0,1.0,1.0,1.0,0.0081034697474463,0.003875968992248062,0.01937984496124031,0.031007751937984496,0.05813953488372093,0.17829457364341086,0.008135000758136737,0.0038910505836575876,0.019455252918287938,0.0311284046692607,0.058365758754863814,0.17898832684824903
512,bicycle,2.090695194841144,1.0,5.0,8.0,15.0,46.0,1.0,1.0,1.0,1.0,0.004067500379068369,0.0019455252918287938,0.009727626459143969,0.01556420233463035,0.029182879377431907,0.08949416342412451,0.004075429229709831,0.001949317738791423,0.009746588693957114,0.015594541910331383,0.029239766081871343,0.08966861598440545
1024,bicycle,2.090695194841144,1.0,5.0,8.0,15.0,46.0,1.0,1.0,1.0,1.0,0.0020377146148549156,0.0009746588693957114,0.004873294346978557,0.007797270955165692,0.014619883040935672,0.04483430799220273,0.002039702629113312,0.000975609756097561,0.004878048780487805,0.007804878048780488,0.014634146341463415,0.0448780487804878
