segment_size,scene,mean_len,p50_len,p90_len,p95_len,p99_len,max_len,mean_seg_per_ap,p90_seg_per_ap,p95_seg_per_ap,p99_seg_per_ap,red_mean,red_p50,red_p90,red_p95,red_p99,red_max,red_fwdT_mean,red_fwdT_p50,red_fwdT_p90,red_fwdT_p95,red_fwdT_p99,red_fwdT_max
32,room,5.265456101445682,3.0,13.0,21.0,35.0,48.0,1.0146860556334751,1.0,1.0,2.0,0.15396818278199956,0.08823529411764706,0.38235294117647056,0.6176470588235294,0.9722222222222222,1.3333333333333333,0.15906936317799883,0.09090909090909091,0.3939393939393939,0.6363636363636364,1.0294117647058822,1.411764705882353
64,room,5.265456101445682,3.0,13.0,21.0,35.0,48.0,1.0,1.0,1.0,1.0,0.07977963790069215,0.045454545454545456,0.19696969696969696,0.3181818181818182,0.5303030303030303,0.7272727272727273,0.08100701694531817,0.046153846153846156,0.2,0.3230769230769231,0.5384615384615384,0.7384615384615385
128,room,5.265456101445682,3.0,13.0,21.0,35.0,48.0,1.0,1.0,1.0,1.0,0.040503508472659086,0.023076923076923078,0.1,0.16153846153846155,0.2692307692307692,0.36923076923076925,0.04081748915849366,0.023255813953488372,0.10077519379844961,0.16279069767441862,0.2713178294573643,0.37209302325581395
256,room,5.265456101445682,3.0,13.0,21.0,35.0,48.0,1.0,1.0,1.0,1.0,0.02040874457924683,0.011627906976744186,0.050387596899224806,0.08139534883720931,0.13565891472868216,0.18604651162790697,0.02048815603675364,0.011673151750972763,0.05058365758754864,0.08171206225680934,0.13618677042801555,0.1867704280155642
512,room,5.265456101445682,3.0,13.0,21.0,35.0,48.0,1.0,1.0,1.0,1.0,0.01024407801837682,0.005836575875486381,0.02529182879377432,0.04085603112840467,0.06809338521400778,0.0933852140077821,0.010264046981375598,0.005847953216374269,0.025341130604288498,0.04093567251461988,0.0682261208576998,0.0935672514619883
1024,room,5.265456101445682,3.0,13.0,21.0,35.0,48.0,1.0,1.0,1.0,1.0,0.005132023490687799,0.0029239766081871343,0.012670565302144249,0.02046783625730994,0.0341130604288499,0.04678362573099415,0.0051370303428738395,0.002926829268292683,0.012682926829268294,0.02048780487804878,0.03414634146341464,0.04682926829268293
